Kent,MD,1.885e+05
Kent,MI,1.641e+05
Kent,RI,2.127e+05
Westchester,NY,5.569e+05
Saint Landry,LA,1.185e+05
Trousdale,TN,1.404e+05
Hickman,TN,1.207e+05
Alexander,NC,1.311e+05
Mitchell,TX,76600
Jennings,IN,1.006e+05
East Baton Rouge,LA,1.572e+05
Wayne,GA,1.06e+05
Wayne,IN,76500
Wayne,MI,69200
Wayne,OH,1.361e+05
Fayette,GA,2.539e+05
Fayette,IN,62100
Fayette,KY,1.605e+05
Fayette,PA,89000
Fayette,TN,1.681e+05
Fayette,TX,1.691e+05
Grand,CO,2.579e+05
Hunterdon,NJ,3.734e+05
Lumpkin,GA,2.036e+05
Metcalfe,KY,91600
Klamath,OR,1.519e+05
Kenton,KY,1.405e+05
Newport News City,VA,1.721e+05
Oldham,KY,2.699e+05
Gloucester,NJ,1.972e+05
Gloucester,VA,2.073e+05
Early,GA,80200
Berkeley,SC,1.732e+05
Kalamazoo,MI,1.428e+05
Cochise,AZ,1.346e+05
Falls,TX,76600
Tehama,CA,1.736e+05
Van Buren,MI,1.285e+05
Ozaukee,WI,2.637e+05
San Diego,CA,5.309e+05
Orange,CA,6.738e+05
Orange,FL,2.071e+05
Orange,IN,77800
Orange,NC,2.684e+05
Orange,NY,2.189e+05
Orange,VA,1.918e+05
Orange,VT,1.808e+05
Hampton City,VA,1.559e+05
Dubois,IN,1.392e+05
Bristol City,VA,99600
Wyandotte,KS,79900
Carver,MN,2.956e+05
Cowlitz,WA,1.626e+05
Laclede,MO,1.115e+05
Anchorage,AK,2.921e+05
Decatur,GA,93700
Decatur,IN,1.096e+05
Nacogdoches,TX,1.149e+05
Fountain,IN,76200
Gilmer,GA,1.822e+05
Tazewell,IL,1.208e+05
Nassau,FL,2.348e+05
Nassau,NY,4.883e+05
Philadelphia,PA,1.341e+05
Dearborn,IN,1.533e+05
Baltimore,MD,2.323e+05
Cattaraugus,NY,72100
Plumas,CA,2.156e+05
Virginia Beach City,VA,2.562e+05
Lamoille,VT,2.209e+05
Mower,MN,94200
Livingston,LA,1.702e+05
Livingston,MI,2.394e+05
Livingston,MO,89300
Livingston,NY,1.239e+05
Glynn,GA,1.812e+05
Siskiyou,CA,1.918e+05
Brooks,TX,65700
Elko,NV,2.244e+05
Steuben,IN,1.508e+05
Steuben,NY,87300
Stokes,NC,1.263e+05
Assumption,LA,1.328e+05
Kauai,HI,5.341e+05
Volusia,FL,1.674e+05
Gem,ID,1.717e+05
Yalobusha,MS,80900
Whitley,IN,1.277e+05
Centre,PA,2.222e+05
Botetourt,VA,1.72e+05
Pope,AR,1.115e+05
Canadian,OK,1.514e+05
Talbot,MD,2.774e+05
Palm Beach,FL,2.505e+05
Mendocino,CA,3.663e+05
Canyon,ID,1.486e+05
Vigo,IN,75900
Lewis,ID,1.653e+05
Lewis,NY,1.199e+05
Lewis,WA,1.798e+05
Lavaca,TX,86200
Orleans,LA,1.727e+05
Orleans,NY,89900
Callahan,TX,1.21e+05
Rockdale,GA,1.344e+05
Iredell,NC,1.553e+05
Cocke,TN,69800
Saint Johns,FL,2.826e+05
Charles,MD,2.785e+05
Tipton,IN,1.065e+05
Tipton,TN,1.29e+05
Ada,ID,2.127e+05
Vanderburgh,IN,1.052e+05
Saginaw,MI,75100
Tippah,MS,1.002e+05
Leon,FL,1.672e+05
Webster,LA,1.037e+05
Webster,MS,87200
Emmet,MI,1.848e+05
Pickaway,OH,1.576e+05
King William,VA,1.896e+05
Beaufort,SC,2.873e+05
Solano,CA,3.834e+05
Winn,LA,83600
Kern,CA,1.89e+05
Saint Lucie,FL,1.86e+05
Brunswick,NC,2.075e+05
Albemarle,VA,3.07e+05
Falls Church City,VA,7.033e+05
Greenville,SC,1.666e+05
Humboldt,CA,2.832e+05
Humboldt,NV,1.873e+05
Alger,MI,1.423e+05
Williamson,TN,4.182e+05
Williamson,TX,2.365e+05
Sandoval,NM,1.701e+05
Calcasieu,LA,1.62e+05
Peoria,IL,1.044e+05
Dauphin,PA,1.57e+05
Twin Falls,ID,1.527e+05
Oceana,MI,94600
Muscogee,GA,91200
Jefferson,AL,1.113e+05
Jefferson,AR,72200
Jefferson,CO,3.764e+05
Jefferson,IN,1.094e+05
Jefferson,LA,1.709e+05
Jefferson,MO,1.453e+05
Jefferson,NY,1.409e+05
Jefferson,OK,52500
Jefferson,PA,96300
Jefferson,TN,1.389e+05
Jefferson,WA,3.214e+05
Durham,NC,1.862e+05
Hinds,MS,79200
Moffat,CO,1.602e+05
Linn,IA,1.324e+05
Linn,OR,1.967e+05
Newton,GA,1.267e+05
Newton,IN,1.131e+05
Newton,MS,1.023e+05
Switzerland,IN,95000
Whatcom,WA,3.25e+05
La Crosse,WI,1.523e+05
Starke,IN,95600
Laramie,WY,1.999e+05
Amador,CA,2.688e+05
Madison,AL,1.527e+05
Madison,ID,1.736e+05
Madison,IN,74500
Madison,LA,1.136e+05
Madison,MS,1.873e+05
Madison,MT,2.247e+05
Madison,NE,1.574e+05
Madison,NY,1.251e+05
Madison,OH,1.465e+05
Madison,TN,92200
San Benito,CA,4.896e+05
Lowndes,GA,1.214e+05
Lowndes,MS,1.184e+05
Blount,TN,1.462e+05
San Mateo,CA,1.0914e+06
Ingham,MI,1.242e+05
Mahoning,OH,74500
Trumbull,OH,82500
Fulton,GA,2.325e+05
Fulton,IN,91400
Fulton,NY,1.169e+05
Avoyelles,LA,1.126e+05
Worcester,MA,2.542e+05
Worcester,MD,2.144e+05
Hopkins,KY,98600
Preble,OH,1.092e+05
Josephine,OR,2.337e+05
Valencia,NM,1.214e+05
Clearwater,ID,2.032e+05
Steele,MN,1.562e+05
Sacramento,CA,3.207e+05
Sedgwick,KS,1.299e+05
Santa Rosa,FL,1.804e+05
Ouray,CO,3.541e+05
Schley,GA,1.328e+05
San Bernardino,CA,3.016e+05
Jasper,GA,99200
Jasper,IN,1.449e+05
Jasper,MO,82500
Jasper,MS,97200
Jasper,TX,85800
DeSoto,MS,1.368e+05
Mohave,AZ,1.796e+05
Tishomingo,MS,1.009e+05
Scott,IN,87700
Scott,KY,1.784e+05
Scott,MN,2.836e+05
Scott,MS,1.202e+05
Cleburne,AL,1.118e+05
Cleburne,AR,1.351e+05
Concordia,LA,1.062e+05
Santa Clara,CA,9.899e+05
Tuscarawas,OH,1.17e+05
Camp,TX,1.151e+05
York,PA,1.631e+05
York,SC,1.709e+05
York,VA,2.936e+05
Chaffee,CO,3.352e+05
Lenawee,MI,1.3e+05
Racine,WI,1.52e+05
Perry,IN,95100
Perry,MO,1.146e+05
Perry,MS,1.082e+05
Perry,OH,92700
Hoke,NC,1.463e+05
Randolph,IN,62600
Randolph,MO,84200
Randolph,NC,1.234e+05
Shasta,CA,2.316e+05
De Kalb,IN,1.213e+05
Chattooga,GA,75200
Catawba,NC,1.11e+05
Walla Walla,WA,2.171e+05
Hays,TX,2.167e+05
Hendry,FL,1.132e+05
De Witt,TX,94200
Caroline,MD,1.696e+05
Caroline,VA,1.781e+05
Crook,OR,2.243e+05
Berrien,MI,1.278e+05
Missoula,MT,2.424e+05
East Feliciana,LA,1.402e+05
Rock,WI,1.352e+05
Island,WA,3.33e+05
Saint Louis,MN,1.314e+05
Saint Louis,MO,1.729e+05
Audrain,MO,96600
Effingham,GA,1.646e+05
Effingham,IL,1.269e+05
Zavala,TX,65200
Howard,IN,85200
Howard,MD,4.298e+05
Howard,TX,94000
Wharton,TX,1.221e+05
Middlesex,CT,2.542e+05
Middlesex,MA,4.797e+05
Middlesex,NJ,2.996e+05
Middlesex,VA,2.467e+05
Mayes,OK,1.207e+05
Fairfield,CT,3.991e+05
Fairfield,OH,1.659e+05
Hall,GA,1.636e+05
Dorchester,MD,1.331e+05
Dorchester,SC,1.817e+05
Peach,GA,1.218e+05
Walker,AL,85300
Walker,GA,96800
Oakland,MI,2.17e+05
Wood,OH,1.387e+05
Imperial,CA,1.884e+05
Carroll,GA,1.213e+05
Carroll,IN,1.085e+05
Carroll,MD,3.043e+05
Carroll,NH,2.203e+05
Carroll,TN,62300
Tarrant,TX,1.778e+05
McClain,OK,1.558e+05
Loudoun,VA,4.672e+05
Tolland,CT,2.162e+05
Walthall,MS,1.047e+05
Weld,CO,2.687e+05
Salt Lake,UT,2.561e+05
Seminole,FL,2.206e+05
Daviess,IN,1.061e+05
Marshall,IN,1.244e+05
Marshall,KY,1.258e+05
Marshall,MS,75400
Marshall,TN,1.126e+05
Miami,IN,75700
Miami,KS,1.79e+05
Prince Georges,MD,2.769e+05
Nolan,TX,77000
Lawrence,IN,84100
Lawrence,MS,92700
Lawrence,PA,88600
Lawrence,TN,95400
King George,VA,2.559e+05
Hardin,KY,1.344e+05
Hardin,TN,72600
Providence,RI,2.187e+05
Phelps,MO,1.205e+05
Santa Cruz,AZ,1.313e+05
Santa Cruz,CA,7.36e+05
Boyd,KY,1.004e+05
Broward,FL,2.236e+05
Larimer,CO,3.353e+05
Floyd,GA,1.165e+05
Floyd,IN,1.548e+05
Osceola,FL,1.823e+05
Broome,NY,99900
Collin,TX,3.05e+05
Boise,ID,1.485e+05
Ocean,NJ,2.709e+05
Weakley,TN,76600
